Timestamp,"By filling out this form I affirm that I belong to the Memon community and will answer all questions to the best of my abilities. All information collected will be entirely anonymous and carry no commercial bearing. I consent to such information being used for the scope of this project only, which is for purely academic and research purposes.",What is your age?,What is your gender?,What is your country of residence?,What sub-group(jamaat) of the Memon community do you belong to ?,"If your father belongs to the memon community, please mention his subgroup/jamat ","If your mother belongs to the memon community, please mention her subgroup/jamat ",How important is it for your current/future partner to be from the Memon community?,How important is it for your FAMILY that your current/future partner be part of the Memon community?,How likely are you to express your feelings for someone who is NOT from the Memon community?,How likely are you to express your feelings for someone who is from the Memon community?,How likely are you to marry someone who DOES NOT BELONG to Memon community?,How likely are you to marry someone who BELONGS to Memon community?,What is your current marital status?,"Does your partner belong to the Memon community? If Memon, please specify subgroup/jamat",What is the gender of your partner?,How old were you when you started seeing each other?,How old was your partner when you started to see them?,Is the relationship formal or yet to become formal?,"Does your partner belong to the Memon community? If Memon, please specify subgroup/jamat",What is the gender of your partner?,How old were you when you got engaged?,How old was your PARTNER when you got engaged?,How old were you when you got married?,How old was your PARTNER when you got married?,Was it an arranged marriage?,"Have you been in a relationship/ engaged previously? If with a Memon, but different subgroup, please specify in the others option."
5/7/2021 19:26:58,I agree,18 - 25,Female,Pakistan,Bantwa,Bantwa,Jaitpur,1,3,5,5,5,5,Relationship / Dating,No,Male,22,22,Not yet engaged,,,,,,,,
5/7/2021 19:32:28,I agree,18 - 25,Male,Pakistan,Kutyana,Kutyana,Kutyana,2,5,5,2,3,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 19:33:04,I agree,18 - 25,Male,Pakistan,Vanthali,vanthali,Sardargarh,1,1,5,5,5,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 19:35:47,I agree,18 - 25,Male,Pakistan,Sindhi Memon,Sindhi Memon,Sindhi Memon,1,5,5,5,5,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 19:42:01,I agree,18 - 25,Male,Pakistan,Junagadh Dhoraji,Dhoraji waley,Jaipur,1,2,5,5,5,5,Relationship / Dating,No,Female,20,20,Engaged,,,,,,,,
5/7/2021 19:43:12,I agree,18 - 25,Female,Pakistan ,Verawal waley,Verawal waley,Sardargadh waley,1,1,4,4,5,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 19:43:45,I agree,18 - 25,Female,Pakistan ,Okhai,Okhai,Okhai,1,1,3,3,5,2,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 19:43:55,I agree,18 - 25,Male,Pakistan,Bantwa,Bantwa,Bantwa,3,4,4,4,3,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 19:54:41,I agree,18 - 25,Female,Pakistan,Junagadh,Junagadh jamaat,Dhoraji waley,1,1,4,5,5,5,Relationship / Dating,Dhoraji waley,Male,18,23,Engaged,,,,,,,,
5/7/2021 20:16:57,I agree,18 - 25,Female,Pakistan ,Bantwa,Bantwa,Bantwa,3,4,1,2,3,4,Married,,,,,,Bantwa,Male,18,23,20,25,Yes,
5/7/2021 20:25:54,I agree,18 - 25,Female,Pakistan,Sindhi,Sindhi,Sindhi,1,4,5,1,5,1,Relationship / Dating,Dhoraji waley,Male,19,19,Engaged,,,,,,,,
5/7/2021 20:40:42,I agree,18 - 25,Male,Pakistan,Vanthali,Vanthali,Vanthali,1,5,3,1,2,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 20:44:07,I agree,18 - 25,Male,Canada,Jetpur,Jetpur,Jetpur,1,1,5,3,5,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 20:44:11,I agree,18 - 25,Female,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,1,5,2,3,1,5,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 20:53:29,I agree,18 - 25,Female,Pakistan,Jetpur,Jetpur,Mianoor,3,3,5,3,5,5,Relationship / Dating,No,Male,15,15,Soon to be engaged,,,,,,,,
5/7/2021 21:04:31,I agree,25 - 30,Male,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,4,4,4,2,3,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 21:06:00,I agree,18 - 25,Female,Pakistan,Bombay waley,Bombay waley,Joonagar/Dohraji,1,1,5,3,5,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 21:47:10,I agree,18 - 25,Female,Pakistan ,Dhoraji waley,Dhoraji waley,Jetpur,4,5,2,2,1,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 22:30:33,I agree,18 - 25,Male,Pakistan,Dhoraji waley,Ok,Ok,3,3,2,4,3,2,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/7/2021 22:42:36,I agree,40 +,Female,Pakistan,Mumbai- waley,Mumbai- waley,veraval,5,5,1,5,1,5,Married,,,,,,veraval,Male,25,26,25,26,Yes,
5/7/2021 22:44:35,I agree,35-40,Male,Pakistan,Mumbai- waley,Mumbai- waley,verawal,5,5,1,5,1,5,Married,,,,,,veraval,Female,27,25,27,25,No,
5/7/2021 22:49:29,I agree,18 - 25,Female,United Kingdom,Kutchi,Kutchi,Kutchi,1,2,4,1,5,2,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 23:03:26,I agree,18 - 25,Female,Pakistan,Bombay waley,Bombay waley,Joonagar/Dohraji,1,1,5,3,5,3,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/7/2021 23:05:39,I agree,40 +,Female,Pakistan ,Wasawad ,Gondal waley,Gondal waley,3,3,1,3,3,3,Married,,,,,,Wasawad ,Male,20,26,20,26,Yes,
5/7/2021 23:11:17,I agree,18 - 25,Female,Pakistan,Morbi Tankara,Morbi Tankara,Morbi Tankara,3,5,3,3,3,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/8/2021 0:33:38,I agree,18 - 25,Female,Pakistan,Dhoraji waley,Kutchi,Dhoraji waley,3,4,4,5,5,5,Relationship / Dating,Dhoraji waley,Male,17,17,Not yet engaged,,,,,,,,
5/8/2021 2:07:45,I agree,18 - 25,Female,Pakistan ,Bantwa,Batwa jamat,Batwa jamat,1,4,2,2,2,5,Single/Divorced,,,,,,,,,,,,,Have been engaged/in a relationship to someone not from Memon community
5/8/2021 2:28:59,I agree,25 - 30,Male,Pakistan ,Khatri,Khatri,Khatri,1,1,5,3,3,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/8/2021 3:08:13,I agree,18 - 25,Female,Pakistan,Kutiyana,Kutiyana,Kutiyana,1,1,5,2,5,2,Relationship / Dating,No,Male,20,20,Not yet engaged,,,,,,,,
5/8/2021 4:29:14,I agree,18 - 25,Female,Pakistan ,Bantwa,Bantwa,Bantwa,1,4,4,4,3,1,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/8/2021 5:15:16,I agree,18 - 25,Male,Pakistan,Bantwa,Bantwa ,Bantwa,2,4,4,3,5,5,Relationship / Dating,No,Female,20,21,Not yet engaged,,,,,,,,
5/8/2021 5:49:14,I agree,18 - 25,Male,UK,Vasawar,Vasawar,Vasawar ,1,2,4,4,3,3,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/8/2021 5:57:10,I agree,18 - 25,Male,Pakistan,Kuchi,He doesnt,Kuchi memon,1,1,3,3,3,3,Relationship / Dating,Mumbai waley,Female,18,18,Engaged,,,,,,,,
5/8/2021 6:25:35,I agree,18 - 25,Female,Pakistan,Bantwa,Bantwa,Bantwa,1,4,3,3,3,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/8/2021 9:09:18,I agree,18 - 25,Female,Pakistan,Bantwa,Bantwa,Bantwa,1,3,3,3,5,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/8/2021 16:26:28,I agree,18 - 25,Male,Pakistan,Dhoraji waley,Dhoraji waley,Dhoraji waley,1,3,5,5,4,4,Single/Divorced,,,,,,,,,,,,,Bantwa
5/8/2021 18:16:57,I agree,18 - 25,Female,Pakistan,Bantwa,Khanani,Khanani,5,4,1,2,1,5,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
5/8/2021 19:53:46,I agree,18 - 25,Female,Pakistan,Halaari,Halaari,Dhoraji waley,4,4,2,3,2,4,Single/Divorced,,,,,,,,,,,,,Never been engaged/in a relationship
